               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12584,            0.038174,             0.03323,                   0,                   0,                   0,                   0,                   0,            0.023752,                   0,                 0.1,                   0,                   0
                   1,             0.13019,            0.030624,            0.039884,                   0,                   0,                   0,                   0,                   0,            0.024189,                   0,             0.09909,            9.01e-05,            9.01e-05
                   2,            0.076128,            0.031256,            0.018763,                   0,                   0,                   0,                   0,                   0,            0.024235,                   0,             0.09816,           0.0001604,           0.0001604
                   3,                   0,            0.022698,                   0,                   0,                   0,                   0,                   0,                   0,            0.024379,                   0,            0.097211,           0.0002109,           0.0002109
                   4,            0.089825,            0.024888,            0.021071,                   0,                   0,                   0,                   0,                   0,            0.024613,                   0,            0.096242,           0.0002416,           0.0002416
                   5,             0.12857,            0.039804,            0.036093,                   0,                   0,                   0,                   0,                   0,            0.024221,                   0,            0.095253,           0.0002525,           0.0002525
                   6,             0.07173,            0.027789,            0.020636,                   0,                   0,                   0,                   0,                   0,            0.024073,                   0,            0.094244,           0.0002436,           0.0002436
                   7,                   0,            0.022881,                   0,                   0,                   0,                   0,                   0,                   0,            0.024196,                   0,            0.093215,           0.0002149,           0.0002149
                   8,                   0,            0.022521,                   0,                   0,                   0,                   0,                   0,                   0,            0.024237,                   0,            0.092166,           0.0001664,           0.0001664
                   9,            0.085244,            0.025106,            0.020239,                   0,                   0,                   0,                   0,                   0,             0.02422,                   0,            0.091098,            9.81e-05,            9.81e-05
