               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07437,            0.026162,            0.024471,             0.00181,            0.068966,          0.00053918,          0.00016404,           0.0057436,           0.0046391,          0.00027655,            0.070122,           0.0033197,           0.0033197
                   1,            0.054331,            0.021477,           0.0089239,           0.0053045,             0.10345,           0.0024623,           0.0007806,            0.004733,           0.0045341,          0.00024703,            0.040057,           0.0065872,           0.0065872
                   2,            0.051497,            0.021292,           0.0092435,           0.0045819,            0.034483,            0.001738,          0.00071538,           0.0050324,           0.0055141,          7.5145e-05,           0.0099247,           0.0097887,           0.0097887
                   3,            0.052323,             0.02256,            0.010885,              0.0166,            0.034483,           0.0080309,           0.0023649,           0.0047154,           0.0044617,          0.00010359,            0.009703,            0.009703,            0.009703
                   4,            0.050429,            0.022139,            0.010496,            0.015501,              0.2069,           0.0078538,           0.0021909,           0.0046008,           0.0041621,          0.00010838,            0.009703,            0.009703,            0.009703
                   5,            0.048517,             0.02184,           0.0084851,            0.021651,             0.13793,            0.011817,           0.0034478,            0.004336,           0.0052536,          0.00022503,            0.009604,            0.009604,            0.009604
                   6,            0.047077,            0.021357,            0.008371,            0.033279,             0.34483,            0.025036,           0.0083298,           0.0038886,           0.0038602,          8.6441e-05,            0.009505,            0.009505,            0.009505
                   7,             0.04585,            0.020827,           0.0071364,            0.012138,             0.34483,           0.0078397,            0.002736,           0.0041013,           0.0037871,          0.00015788,            0.009406,            0.009406,            0.009406
                   8,            0.044892,            0.020584,           0.0072118,            0.010865,             0.34483,           0.0086688,           0.0029177,           0.0040769,           0.0056016,          3.9434e-05,            0.009307,            0.009307,            0.009307
                   9,            0.044222,            0.020319,           0.0064964,            0.017162,             0.31034,            0.011378,            0.003456,           0.0041204,           0.0045308,          6.8761e-05,            0.009208,            0.009208,            0.009208
