               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074477,            0.026415,            0.027087,          0.00035015,             0.10345,          0.00029689,          9.3868e-05,           0.0057502,           0.0045384,          0.00060758,            0.070122,           0.0033197,           0.0033197
                   1,            0.055119,            0.021264,           0.0092115,           0.0019204,            0.068966,           0.0011794,          0.00041478,           0.0050595,           0.0053001,          0.00030315,            0.040057,           0.0065872,           0.0065872
                   2,             0.05227,            0.021225,           0.0097016,             0.01085,             0.27586,           0.0057528,           0.0017985,           0.0043716,           0.0050298,          0.00024912,           0.0099247,           0.0097887,           0.0097887
                   3,            0.052682,            0.022393,            0.011334,           0.0054526,             0.37931,           0.0036601,           0.0013899,            0.004277,           0.0061144,          0.00046686,            0.009703,            0.009703,            0.009703
                   4,            0.050913,            0.022052,            0.010762,            0.012871,             0.13793,           0.0062429,           0.0016171,           0.0046548,           0.0033657,          0.00031619,            0.009703,            0.009703,            0.009703
                   5,            0.048998,            0.021807,           0.0089549,            0.070165,             0.10345,            0.031662,           0.0083842,            0.004461,           0.0041418,          0.00026927,            0.009604,            0.009604,            0.009604
                   6,            0.047746,            0.021399,           0.0085977,           0.0067196,             0.13793,           0.0051323,           0.0019343,           0.0040629,           0.0042434,          0.00062429,            0.009505,            0.009505,            0.009505
                   7,            0.046288,            0.020742,           0.0073846,            0.019198,             0.44828,            0.014643,           0.0047745,           0.0038666,           0.0038705,          3.4008e-05,            0.009406,            0.009406,            0.009406
                   8,            0.045167,            0.020483,           0.0070213,            0.011669,              0.2069,           0.0087506,           0.0040728,           0.0037725,            0.004958,          0.00024071,            0.009307,            0.009307,            0.009307
                   9,            0.044435,            0.020253,           0.0067655,             0.04405,              0.2069,            0.023726,           0.0092706,           0.0042793,           0.0038568,          8.5145e-05,            0.009208,            0.009208,            0.009208
                  10,            0.044069,            0.020076,           0.0063617,            0.013329,             0.62069,            0.012222,           0.0037431,           0.0033382,           0.0049447,          3.5188e-05,            0.009109,            0.009109,            0.009109
                  11,            0.043072,            0.020187,           0.0062039,            0.015284,             0.31034,            0.010548,           0.0050837,           0.0038923,            0.004966,          8.4602e-05,             0.00901,             0.00901,             0.00901
                  12,            0.042861,              0.0201,           0.0057082,            0.019703,             0.31034,            0.014822,           0.0059005,           0.0034809,           0.0048763,          6.7433e-05,            0.008911,            0.008911,            0.008911
                  13,            0.042053,            0.019518,           0.0057375,             0.01777,             0.65517,            0.016413,           0.0061722,           0.0034016,           0.0049247,          4.8951e-05,            0.008812,            0.008812,            0.008812
                  14,            0.041679,            0.019602,           0.0050651,            0.016444,             0.41379,            0.012331,           0.0044231,           0.0036807,           0.0045836,            8.94e-05,            0.008713,            0.008713,            0.008713
                  15,            0.041041,            0.019117,            0.005016,            0.023066,             0.65517,            0.019362,            0.007683,           0.0032804,           0.0049765,          3.0181e-05,            0.008614,            0.008614,            0.008614
                  16,             0.04057,            0.018998,           0.0050865,            0.022466,             0.44828,            0.019232,           0.0088083,           0.0031698,           0.0054311,          3.4699e-05,            0.008515,            0.008515,            0.008515
                  17,            0.040374,             0.01906,           0.0048151,             0.02491,             0.51724,            0.025897,           0.0099024,           0.0031613,           0.0049952,          3.7851e-05,            0.008416,            0.008416,            0.008416
                  18,            0.039672,            0.018691,           0.0045105,            0.017622,             0.17241,            0.018933,           0.0087521,           0.0030431,           0.0048372,          4.4766e-05,            0.008317,            0.008317,            0.008317
                  19,            0.039523,            0.018505,           0.0042974,            0.071385,             0.34483,             0.05658,             0.01634,           0.0035231,           0.0052656,          1.9861e-05,            0.008218,            0.008218,            0.008218
                  20,            0.039322,             0.01861,            0.004272,            0.026595,             0.41379,            0.019234,           0.0067966,           0.0035286,           0.0051217,          1.3877e-05,            0.008119,            0.008119,            0.008119
                  21,            0.039334,            0.018617,            0.004212,            0.025706,             0.62069,            0.022817,            0.009396,           0.0033349,           0.0048934,          2.6822e-05,             0.00802,             0.00802,             0.00802
                  22,            0.038152,            0.018332,           0.0042791,            0.015002,             0.44828,            0.014464,           0.0049698,           0.0033936,            0.004914,          4.3448e-05,            0.007921,            0.007921,            0.007921
                  23,            0.037975,            0.018276,           0.0041941,            0.017653,             0.34483,            0.015302,            0.006032,           0.0036388,           0.0049129,          1.3822e-05,            0.007822,            0.007822,            0.007822
                  24,            0.037843,            0.018404,            0.004188,            0.025947,             0.41379,            0.023386,           0.0098277,           0.0032017,           0.0055021,          1.8248e-05,            0.007723,            0.007723,            0.007723
                  25,            0.037787,            0.018374,           0.0040695,             0.02542,             0.65517,            0.024965,           0.0099054,           0.0030425,           0.0054896,          1.9416e-05,            0.007624,            0.007624,            0.007624
                  26,            0.037736,            0.018362,            0.003876,            0.020559,             0.68966,            0.019613,           0.0072606,           0.0031711,           0.0054903,          2.6562e-05,            0.007525,            0.007525,            0.007525
                  27,            0.037116,            0.017812,           0.0036708,            0.020427,             0.51724,             0.01849,           0.0079765,           0.0032992,           0.0057767,          2.1829e-05,            0.007426,            0.007426,            0.007426
                  28,            0.036703,            0.017947,            0.003642,            0.019096,             0.34483,            0.016212,           0.0068715,           0.0028866,           0.0057525,          2.3729e-05,            0.007327,            0.007327,            0.007327
                  29,            0.036711,             0.01765,           0.0036728,            0.030431,             0.51724,            0.037571,            0.017294,           0.0029222,           0.0055504,          1.9012e-05,            0.007228,            0.007228,            0.007228
                  30,            0.036655,            0.017905,           0.0040278,            0.017211,             0.62069,            0.016933,           0.0076825,           0.0030259,           0.0055241,          2.1715e-05,            0.007129,            0.007129,            0.007129
                  31,            0.036151,            0.017511,            0.003332,            0.026973,             0.65517,            0.024908,            0.011283,           0.0029579,           0.0058332,          1.8842e-05,             0.00703,             0.00703,             0.00703
                  32,            0.036119,             0.01764,           0.0033262,            0.020149,             0.41379,            0.019295,           0.0096163,           0.0027984,           0.0055532,          1.5167e-05,            0.006931,            0.006931,            0.006931
                  33,            0.036023,            0.017584,           0.0034318,            0.026589,             0.58621,            0.024184,            0.011007,           0.0030315,           0.0059772,          2.4525e-05,            0.006832,            0.006832,            0.006832
                  34,            0.035549,            0.017445,           0.0032289,             0.02474,              0.7931,            0.024327,            0.010209,           0.0028805,           0.0058528,          1.8117e-05,            0.006733,            0.006733,            0.006733
                  35,            0.035517,            0.017437,           0.0031227,            0.028761,             0.86207,            0.028867,            0.014114,           0.0025865,           0.0058245,          1.0481e-05,            0.006634,            0.006634,            0.006634
                  36,            0.035175,            0.017497,           0.0029826,            0.020511,             0.58621,            0.019104,           0.0094937,           0.0028718,            0.005825,          2.8376e-05,            0.006535,            0.006535,            0.006535
                  37,            0.034763,            0.017259,           0.0032679,            0.023522,             0.55172,            0.024684,            0.012825,            0.002731,           0.0060257,          1.6381e-05,            0.006436,            0.006436,            0.006436
                  38,            0.035048,             0.01707,           0.0032797,            0.028603,             0.65517,            0.029056,             0.01476,           0.0024795,           0.0063482,           1.298e-05,            0.006337,            0.006337,            0.006337
                  39,            0.034148,            0.016991,           0.0027652,            0.022286,             0.62069,            0.020361,           0.0098844,            0.002759,           0.0064248,          1.1896e-05,            0.006238,            0.006238,            0.006238
                  40,            0.034204,            0.016717,           0.0032025,            0.035037,             0.34483,            0.035207,            0.018193,           0.0025868,           0.0061309,          1.6388e-05,            0.006139,            0.006139,            0.006139
                  41,            0.034183,            0.016845,           0.0028201,            0.021357,             0.37931,            0.026774,            0.014329,           0.0025336,           0.0063482,           1.716e-05,             0.00604,             0.00604,             0.00604
