               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12522,            0.030708,            0.030939,                   0,                   0,                   0,                   0,                   0,             0.02097,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.11923,             0.03229,            0.027739,                   0,                   0,                   0,                   0,                   0,            0.017104,                   0,            0.087871,            0.000871,            0.000871
                   2,             0.11377,            0.029314,            0.024094,                   0,                   0,                   0,                   0,                   0,             0.01507,                   0,             0.08068,             0.00068,             0.00068
